Date,Details
1/3/2023,Organizational Day (12:00)
1/5/2023,Senate Deadline for specific information or language
1/19/2023,House Deadline for Minor Redraft Request (NLT 10:00 am)
1/19/2023,House Deadline for Filing of Bills and Joint Resolutions (NLT 4:00 pm))
1/19/2023,Senate Bill Introduction Dealine (4:00 pm)
2/6/2023,First Day of the First Regualr Session of the 59th Legislature
2/27/2023, Deadline for HBs/HJRs out of Subcommittee
3/2/2023, Deadline for HBs/HJRs out of Standing Committee
3/23/2023,3rd Reading in House odf Origin Deadline
4/3/2023,Deadline for SBs/SJRs out of Subcommittee
4/7/2023,Deadline for SBs/SJRs out of Standing Committee (exception for SBs/SJRs in full A&B Committee) 
4/14/2023,Deadline for SBs/SJRs out of full A&B Committee
4/27/2023,3rd Reading in Opposite House Deadline
5/26/2023,Sine Die Adjournment (NLT 5:00)
