Type,Photo,Last Name,First Name,District #,Party,Title/leadership,Sort Order,E-mail,Website,Term limit,Counties covered,Standing Committee,Appropriations Subcommittee,Office address,Office city,Office state,Office zip,Office Rm #,Office phone,Home address,Home city,Home state,Home zip,District Phone,LA name,Predecessor,Cooperative Name,Cooperative Logo Filename,Twitter,Facebook,LinkedIn,Miles of Line,Active Meters,Employees,Active Meters/Mile,Co-op Type,Co-op Region Name
OAEC Contact,HowethStacy.jpg,Howeth,Stacy,,,"Legislative Liaison, Legislative & Regulatory Affairs",3,showeth@oaec.coop,http://www.oaec.coop,,,,,2325 E. I-44 Service Rd.,Oklahoma City,OK,73111,,405-478-1455,,,,,,,,Oklahoma Association of Electric Cooperatives,,http://twitter.com/OAECoop,http://www.facebook.com/OklahomaAssociationOfElectricCooperatives?ref=ts&fref=ts,,,,,,,
OAEC Contact,MeyersChris.jpg,Meyers,Chris,,,General Manager/CEO,1,cmeyers@oaec.coop,http://www.oaec.coop,,,,,2325 E. I-44 Service Rd.,Oklahoma City,OK,73111,,405-478-1455,,,,,,,,Oklahoma Association of Electric Cooperatives,,http://twitter.com/OAECoop,http://www.facebook.com/OklahomaAssociationOfElectricCooperatives?ref=ts&fref=ts,,,,,,,
OAEC Contact,SparksKenny.jpg,Sparks,Kenny,,,"Director, Legislative & Regulatory Affairs",2,ksparks@oaec.coop,http://www.oaec.coop,,,,,2325 E. I-44 Service Rd.,Oklahoma City,OK,73111,,405-478-1455,,,,,,,,Oklahoma Association of Electric Cooperatives,,http://twitter.com/OAECoop,http://www.facebook.com/OklahomaAssociationOfElectricCooperatives?ref=ts&fref=ts,,,,,,,
OAEC Member System,KendallBeck.jpg,Beck,Kendall,,,Manager,9,,http://www.cooksonhills.com/,,OK: Adair~ Cherokee~ Haskell~ LeFlore~ Muskogee~ Pittsburg~ Sequoyah,,,1002 E. Main,Stigler,OK,74462,,800-328-2368,,,,,,,,"Cookson Hills Electric Cooperative, Inc.",,,,,2880,17625,51,6,Distribution,"Cookson Hills Electric Cooperative, Inc."
OAEC Member System,ChrisCariker.jpg,Cariker,Chris,,,Executive VP/CEO,14,,http://www.kamopower.com/,,,,,500 S. KAMO Dr.,Vinita,OK,74301,,918-256-5551,,,,,,,,KAMO Power,,,,http://www.linkedin.com/company/kamo-power,2401,,138,,Generation/Transmission,
OAEC Member System,JackClinkscale.jpg,Clinkscale,Jack,,,Manager,13,,http://www.iecok.com/,,OK: Creek~ Kay~ Noble~ Osage~ Pawnee~ Payne~ Tulsa,,,U.S. Hwy 64 S.,Cleveland,OK,74020,,918-295-9500,,,,,,,,"Indian Electric Cooperative, Inc.",,,,,3519,19947,91,6,Distribution,"Indian Electric Cooperative, Inc."
OAEC Member System,ScottCopeland.jpg,Copeland,Scott,,,Manager,20,,http://www.nfecoop.com/,,OK: Beckham~ Custer~ Dewey~ Greer~ Harmon~ Roger Mills~ Washita,,,301 E. Main,Sayre,OK,73662,,580-928-3366,,,,,,,,"Northfork Electric Cooperative, Inc.",,,https://www.facebook.com/pages/Northfork-Electric-Cooperative-Inc/125649210807367?fref=ts,,2488,6543,32,3,Distribution,"Northfork Electric Cooperative, Inc."
OAEC Member System,AnthonyDue.jpg,Due,Anthony,,,Manager,19,,http://www.neelectric.com/,,OK: Craig~ Delaware~ Mayes~ Nowata~ Ottawa~ Rogers,,,27039 S. 4440 Rd.,Vinita,OK,74301,,918-256-6405,,,,,,,,"Northeast OK Electric Cooperative, Inc.",,,https://www.facebook.com/neokrec,,5271,40186,177,8,Distribution,Northeast Oklahoma Electric Co-op
OAEC Member System,RandyEthridge.jpg,Ethridge,Randy,,,Executive VP/CEO,25,,www.peopleselectric.coop,,OK: Atoka~ Carter~ Coal~ Garvin~ Hughes~ Johnston~ McClain~ Murray~ Pittsburg~ Pontotoc~ Seminole,,,1600 N. Country Club,Ada,OK,74820,,580-332-3031,,,,,,,,People's Electric Cooperative,,,https://www.facebook.com/PeoplesElectricCooperative?fref=ts,,4767,20565,62,4,Transmission/Distribution,People's Electric Cooperative
OAEC Member System,MarkFuller.jpg,Fuller,Mark,,,District Manager - Pocola,3,,http://www.avecc.com/,,OK: Adair~ LeFlore~ Sequoyah~ AR: Crawford~ Franklin~ Johnson~ Logan~ Madison~ Newton~ Pope~ Scott~ Sebastian~ Yell,,,1302 S. Pocola Blvd.,Pocola,OK,74902,,800-468-2419,,,,,,,,"Arkansas Valley Electric Cooperative, Corp.",,,https://www.facebook.com/MyEnergyAVECC,,8148,70161,134,9,Distribution,Arkansas Valley Electric Cooperative Corp.
OAEC Member System,MikeHagy.jpg,Hagy,Mike,,,CEO/Manager,29,,http://www.swre.com/,,OK: Comanche~ Greer~ Kiowa~ Jackson~ Tillman~ TX: Archer~ Baylor~ Foard~ Hardeman~ Wichita~ Wilbarger,,,700 N. Broadway,Tipton,OK,73570,,580-667-5281,,,,,,,,"Southwest Rural Electric Association, Inc.",,,,,2999,7765,29,3,Distribution,"Southwest Rural Electric Association, Inc."
OAEC Member System,GeorgeHand.jpg,Hand,George,,,Manager,5,,http://www.canadianvalley.org/,,OK: Creek~ Hughes~ Lincoln~ McIntosh~ Okfuskee~ Oklahoma~ Pottawatomie~ Seminole,,,11277 S.356,Seminole,OK,74868,,405-382-3680,,,,,,,,"Canadian Valley Electric Cooperative, Inc.",,,,,5175,23666,56,5,Distribution,Canadian Valley Electric Cooperative. Inc.
OAEC Member System,TimRodriguez.jpg,Rodriguez,Tim,,,Manager,15,,http://www.kayelectric.coop/,,OK: Garfield~ Grant~ Kay~ Noble~ Osage,,,300 W. Doolin,Blackwell,OK,74631,,580-363-1260,,,,,,,,"Kay Electric Cooperative, Inc.",,https://twitter.com/kayelectriccoop,http://www.facebook.com/pages/Kay-Electric-Cooperative/277322722408,,2096,5643,40,3,Distribution,Kay Electric Cooperative
OAEC Member System,BrentHartin.jpg,Hartin,Brent,,,CEO,26,,http://www.rrvrea.com/,,OK: Carter~ Jefferson~ Johnston~ Love~ Marshall,,,1003 Memorial Dr.,Marietta,OK,73448,,580-276-3364,,,,,,,,"Red River Valley Rural Electric Association, Inc.",,,https://www.facebook.com/pages/Red-River-Valley-REA/146536385393684?fref=ts,,2661,14877,43,6,Distribution,Red River Valley REA
OAEC Member System,AliceHouston.jpg,Houston,Alice,,,Manager,31,,http://www.vvec.com/,,OK: Nowata~ Osage~ Rogers~ Tulsa~ Washington,,,8901 E. 146th St. N.,Collinsville,OK,74021,,918-371-2584,,,,,,,,"Verdigris Valley Electric Cooperative, Inc.",,,,,4684,34856,90,7,Distribution,Verdigris Valley Electric Cooperative
OAEC Member System,JimJackson.jpg,Jackson,Jim,,,Executive VP/CEO,16,,http://www.kiamichielectric.org/,,OK: Atoka~ Latimer~ LeFlore~ Pittsburg~ Pushmataha,,,966 S. Hwy 2,Wilburton,OK,74578,,918-465-2338,,,,,,,,"Kiamichi Electric Cooperative, Inc.",,,https://www.facebook.com/pages/Kiamichi-Electric-Cooperative/150931158276424?fref=ts,,4067,21099,47,5,Distribution,"Kiamichi Electric Cooperative, Inc."
OAEC Member System,MitchellJohnson.jpg,Johnson,Mitchell,,,President/CEO,23,,http://www.ozarksecc.com/,,OK: Adair~ Cherokee~ Delaware~ Sequoyah~ AR: Benton~ Crawford~ Franklin~ Madison~ Washington,,,Hwy 51 W.,Stilwell,OK,74960,,918-696-7733,,,,,,,,"Ozarks Electric Cooperative, Corp.",,,https://www.facebook.com/OzarksElectric?fref=ts,,6755,67606,183,10,Distribution,Ozarks Electric Co-op Corp.
OAEC Member System,DennisKrueger.jpg,Krueger,Dennis,,,Manager,17,,http://www.kiwash.coop/,,OK: Blaine~ Custer~ Dewey~ Kiowa~ Roger Mills~ Washita,,,120 W. 1st St.,Cordell,OK,73632,,580-832-3361,,,,,,,,"Kiwash Electric Cooperative, Inc.",,https://twitter.com/kiwashelectric,http://www.facebook.com/pages/Kiwash-Electric-Cooperative/115398462130,,2968,6236,26,2,Distribution,"Kiwash Electric Cooperative, Inc."
OAEC Member System,WarrenLangford.jpg,Langford,Warren,,,CEO,10,,http://www.cottonelectric.com/,,OK: Caddo~ Carter~ Comanche~ Cotton~ Grady~ Jefferson~ Stephens~ Tillman,,,226 N. Broadway,Walters,OK,73572,,580-875-3351,,,,,,,,"Cotton Electric Cooperative, Inc.",,www.twitter.com/cottonelectric,www.facebook.com/cottonelectric,,5140,21722,95,4,Distribution,"Cotton Electric Cooperative, Inc."
OAEC Member System,TysonLittau.jpg,Littau,Tyson,,,Manager/CEO,21,,http://www.nwecok.coop/,,OK: Beaver~ Dewey~ Ellis~ Harper~ Major~ Woods~ Woodward,,,2925 Williams Ave.,Woodward,OK,73802,,580-256-7425,,,,,,,,"Northwestern Electric Cooperative, Inc.",,http://twitter.com/nwecok,https://www.facebook.com/pages/Northwestern-Electric-Cooperative/139718627432,,4906,11359,60,2,Distribution,"Northwestern Electric Cooperative, Inc."
OAEC Member System,MaxMeek.jpg,Meek,Max,,,CEO/Manager,22,,http://www.okcoop.org/,,OK: Caddo~ Canadian~ Cleveland~ Grady~ McClain~ Oklahoma~ Pottawatomie,,,242 24th Ave. NW,Norman,OK,73069,,405-321-2024,,,,,,,,"Oklahoma Electric Cooperative, Inc.",,https://twitter.com/okcoop,https://www.facebook.com/OklaElec?fref=ts,,5321,49418,118,9,Distribution,Oklahoma Electric Cooperative
OAEC Member System,DaleNye.jpg,Nye,Dale,,,CEO,27,,http://www.recok.coop/,,OK: Carter~ Comanche~ Garvin~ Grady~ McClain~ Stephens,,,N. of Lindsay on Hwy. 76,Lindsay,OK,73052,,405-756-3104,,,,,,,,"Rural Electric Cooperative, Inc.",,,http://www.facebook.com/pages/Rural-Electric-Cooperative-Inc/116401145072740,,2877,10813,49,4,Distribution,"Rural Electric Cooperative, Inc."
OAEC Member System,CharlesPaxton.jpg,Paxton,Charles,,,General Manager/CEO,12,,http://www.harmonelectric.com/,,OK: Beckham~ Greer~ Harmon~ Jackson~ Kiowa~ TX: Childress~ Hardeman,,,114 N. 1st St.,Hollis,OK,73550,,580-688-3342,,,,,,,,"Harmon Electric Association, Inc.",,,https://www.facebook.com/pages/Harmon-Electric-Association-Inc/154725664575443,,1900,3491,19,2,Distribution,"Harmon Electric Association, Inc."
