Type,Photo,Last Name,First Name,District #,Party,Title/leadership,Sort Order,E-mail,Website,Term limit,Counties covered,Standing Committee,Appropriations Subcommittee,Office address,Office city,Office state,Office zip,Office Rm #,Office phone,Home address,Home city,Home state,Home zip,District Phone,LA name,Predecessor,Cooperative Name,Cooperative Logo Filename,Twitter,Facebook,LinkedIn,Miles of Line,Active Meters,Employees,Active Meters/Mile,Co-op Type,Co-op Region Name
Oklahoma House,,Tadlock,Johnny,1,D,,,,,2026,LeFlore~ McCurtain,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Idabel,,,,,,,,,,,,,,,,
Oklahoma House,BennettJohn.jpg,Bennett,John,2,R,,,john.bennett@okhouse.gov ,,2022,Sequoyah,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Sallisaw,,,,,,,,,,,,,,,,
Oklahoma House,LockhartJames.jpg,Lockhart,James,3,D,,,james.lockhart@okhouse.gov ,,2022,LeFlore,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Heavener,,,,,,,,,,,,,,,,
Oklahoma House,BrownMike.jpg,Brown,Mike,4,D,,,mikebrown@okhouse.gov ,,2016,Cherokee,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Tahlequah,,,,,,,,,,,,,,,,
Oklahoma House,CoxDoug.jpg,Cox,Doug,5,R,,,dougcox@okhouse.gov ,,2016,Delaware~ Mayes,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Grove,,,,,,,,,,,,,,,,
Oklahoma House,HoskinChuck.jpg,Hoskin,Chuck,6,D,,,chuck.hoskin@okhouse.gov ,,2018,Craig~ Mayes~ Rogers,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Vinita,,,,,,,,,,,,,,,,
Oklahoma House,,Loring,Ben,7,D,,,,,2026,Delaware~ Ottawa,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Miami,,,,,,,,,,,,,,,,
Oklahoma House,SherrerBen.jpg,Sherrer,Ben,8,D,,,bensherrer@okhouse.gov ,,2016,Mayes~ Rogers~ Wagoner,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Choteau,,,,,,,,,,,,,,,,
Oklahoma House,,Lepak,Mark Paul,9,R,,,,,2026,Rogers,,,,,,,,,,Claremore,,,,,,,,,,,,,,,,
Oklahoma House,,Dunlap,Travis,10,R,,,,,2026,Nowata~ Osage~ Washington,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Bartlesville,,,,,,,,,,,,,,,,
Oklahoma House,SearsEarl.jpg,Sears,Earl,11,R,,,earl.sears@okhouse.gov ,,2018,Rogers~ Tulsa~ Washington,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Bartlesville,,,,,,,,,,,,,,,,
Oklahoma House,RousselotWade.jpg,Rousselot,Wade,12,D,,,waderousselot@okhouse.gov ,,2016,Wagoner,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Wagoner,,,,,,,,,,,,,,,,
Oklahoma House,McPeakJerry.jpg,McPeak,Jerry,13,D,,,jerrymcpeak@okhouse.gov ,,2016,McIntosh~ Muskogee,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Warner,,,,,,,,,,,,,,,,
Oklahoma House,,Faught,George,14,R,,,,,2020,Cherokee~ Muskogee,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Muskogee,,,,,,,,,,,,,,,,
Oklahoma House,CannadayEd.jpg,Cannaday,Ed,15,D,,,ed.cannaday@okhouse.gov ,,2018,Haskell~ LeFlore~ McIntosh~ Muskogee~ Pittsburg~ Sequoyah,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Porum,,,,,,,,,,,,,,,,
Oklahoma House,ShoemakeJerry.jpg,Shoemake,Jerry,16,D,,,jerryshoemake@okhouse.gov ,,2016,Muskogee~ Okmulgee~ Tulsa~ Wagoner,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,Morris,,,,,,,,,,,,,,,,
Oklahoma House,RenegarBrian.jpg,Renegar,Brian,17,D,,,brian.renegar@okhouse.gov ,,2018,Latimer~ LeFlore~ Pittsburg,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,McAlester,,,,,,,,,,,,,,,,
Oklahoma House,ConditDonnie.jpg,Condit,Donnie,18,D,,,donnie.condit@okhouse.gov ,,2022,Coal~ Hughes~ McIntosh~ Pittsburg,,,2300 N. Lincoln Blvd.,Oklahoma City,OK,73105,,,,McAlester,,,,,,,,,,,,,,,,
