Type,Photo,Last Name,First Name,District #,Party,Title/leadership,Sort Order,E-mail,Website,Term limit,Counties covered,Standing Committee,Appropriations Subcommittee,Commerce & Economic Development Oversight Committees,Education Oversight Committees,Government Oversight Committees,Health & Human Services Oversight Committees,Energy & Natural Resources Oversight Committees,Judiciary & Public Safety Oversight Committees,Office address,Office city,Office state,Office zip,Office Rm #,Office phone,Cell phone,Home address,Home city,Home state,,District Phone,LA name,LA E-mail,Predecessor,Cooperative Name,Cooperative Logo Filename,Twitter,Facebook,LinkedIn,Miles of Line,Active Meters,Employees,Active Meters/Mile,Co-op Type,Co-op Region Name
OAEC Contact,ChristyMoore.jpg,Moore,Christy,,,Government Affairs Assistant,3,cmoore@oaec.coop,http://www.oaec.coop,http://www.oaec.coop,,,,,,,,,,2325 E. I-44 Service Rd.,Oklahoma City,OK,73111,,405-478-1455,,,,,,,,,,Oklahoma Association of Electric Cooperatives,,http://twitter.com/OAECoop,http://www.facebook.com/OklahomaAssociationOfElectricCooperatives?ref=ts&fref=ts,,,,,,,
OAEC Contact,ChrisMeyers.jpg,Meyers,Chris,,,General Manager/CEO,1,cmeyers@oaec.coop,http://www.oaec.coop,http://www.oaec.coop,,,,,,,,,,2325 E. I-44 Service Rd.,Oklahoma City,OK,73111,,405-478-1455,,,,,,,,,,Oklahoma Association of Electric Cooperatives,,http://twitter.com/OAECoop,http://www.facebook.com/OklahomaAssociationOfElectricCooperatives?ref=ts&fref=ts,,,,,,,
OAEC Contact,JimReese.jpg,Reese,Jim,,,Director of Government & Regulatory Affairs,2,jreese@oaec.coop,http://www.oaec.coop,http://www.oaec.coop,,,,,,,,,,2325 E. I-44 Service Rd.,Oklahoma City,OK,73111,,405-478-1455,405-365-0932,,,,,,,,,Oklahoma Association of Electric Cooperatives,,http://twitter.com/OAECoop,http://www.facebook.com/OklahomaAssociationOfElectricCooperatives?ref=ts&fref=ts,,,,,,,
OAEC Member System,OrmeJuli1.jpg,Orme,Juli,,,General Manager/CEO,9,,http://www.cooksonhills.com/,http://www.cooksonhills.com/,OK: Adair~ Cherokee~ Haskell~ LeFlore~ Muskogee~ Pittsburg~ Sequoyah,,,,,,,,,1002 E. Main,Stigler,OK,74462,,800-328-2368,,,,,,,,,,"Cookson Hills Electric Cooperative, Inc.",,,,,2921,17785,53,6,Distribution,"Cookson Hills Electric Cooperative, Inc."
OAEC Member System,HilmesTed.jpg,Theodore,Hilmes,,,Executive VP/CEO,15,,http://www.kamopower.com/,http://www.kamopower.com/,,,,,,,,,,500 S. KAMO Dr.,Vinita,OK,74301,,918-256-5551,,,,,,,,,,KAMO Power,,,,http://www.linkedin.com/company/kamo-power,2713,,184,,Generation/Transmission,
OAEC Member System,SchroederTodd.jpg,Schroeder,Todd,,,General Manager/CEO,14,,http://www.iecok.com/,http://www.iecok.com/,OK: Creek~ Kay~ Noble~ Osage~ Pawnee~ Payne~ Tulsa,,,,,,,,,U.S. Hwy 64 S.,Cleveland,OK,74020,,918-295-9500,,,,,,,,,,"Indian Electric Cooperative, Inc.",,,,,3629,19423,81,5,Distribution,"Indian Electric Cooperative, Inc."
OAEC Member System,MeadorBrent.jpg,Meador,Brent,,,Manager,20,,http://www.nfecoop.com/,http://www.nfecoop.com/,OK: Beckham~ Custer~ Dewey~ Greer~ Harmon~ Roger Mills~ Washita,,,,,,,,,18920 E 1170 Rd.,Sayre,OK,73662,,580-928-3366,,,,,,,,,,"Northfork Electric Cooperative, Inc.",,,https://www.facebook.com/pages/Northfork-Electric-Cooperative-Inc/125649210807367?fref=ts,,2578,6826,32,3,Distribution,"Northfork Electric Cooperative, Inc."
OAEC Member System,DanielWebster.jpg,Webster,Daniel,,,Manager,19,,http://www.neelectric.com/,http://www.neelectric.com/,OK: Craig~ Delaware~ Mayes~ Nowata~ Ottawa~ Rogers,,,,,,,,,27039 S. 4440 Rd.,Vinita,OK,74301,,918-256-6405,,,,,,,,,,"Northeast OK Electric Cooperative, Inc.",,,https://www.facebook.com/neokrec,,5294,38712,187,7,Distribution,Northeast Oklahoma Electric Co-op
OAEC Member System,DuncanKooney.jpg,Duncan,Kooney,,,Manager,6,,www.choctawelectric.coop,www.choctawelectric.coop,OK: Atoka~ Bryan~ Choctaw~ LeFlore~ McCurtain~ Pushmataha,,,,,,,,,Hwy. 93 N.,Hugo,OK,74743,,580-326-6486,,,,,,,,,,"Choctaw Electric Cooperative, Inc.",,,https://www.facebook.com/pages/Choctaw-Electric-Cooperative/118898534804009,,3569,18495,79,5,Distribution,"Choctaw Electric Cooperative, Inc."
OAEC Member System,MarkFuller.jpg,Fuller,Mark,,,District Manager - Pocola,3,,http://www.avecc.com/,http://www.avecc.com/,OK: Adair~ LeFlore~ Sequoyah~ AR: Crawford~ Franklin~ Johnson~ Logan~ Madison~ Newton~ Pope~ Scott~ Sebastian~ Yell,,,,,,,,,1302 S. Pocola Blvd.,Pocola,OK,74902,,800-468-2419,,,,,,,,,,"Arkansas Valley Electric Cooperative, Corp.",,,https://www.facebook.com/MyEnergyAVECC,,8232,57151,146,7,Distribution,Arkansas Valley Electric Cooperative Corp.
OAEC Member System,GoetzGreg.jpg,Goetz,Greg,,,General Manager/CEO,1,,http://www.alfalfaelectric.coop/,http://www.alfalfaelectric.coop/,OK: Alfalfa~ Grant~ Garfield~ Major~ Woods~ KS: Barber~ Harper,,,,,,,,,121 E. Main St,Cherokee,OK,73728,,580-596-3333,,,,,,,,,,"Alfalfa Electric Cooperative, Inc.",,,https://www.facebook.com/AlfalfaElectric,,3255,8225,52,3,Distribution,"Alfalfa Electric Cooperative, Inc."
OAEC Member System,GracePatrick.jpg,Grace,Patrick,,,CEO/Manager,22,,http://www.okcoop.org/,http://www.okcoop.org/,OK: Caddo~ Canadian~ Cleveland~ Grady~ McClain~ Oklahoma~ Pottawatomie,,,,,,,,,242 24th Ave. NW,Norman,OK,73069,,405-321-2024,,,,,,,,,,"Oklahoma Electric Cooperative, Inc.",,https://twitter.com/okcoop,https://www.facebook.com/OklaElec?fref=ts,,5450,52534,132,10,Distribution,Oklahoma Electric Cooperative
OAEC Member System,MathisMike.jpg,Mathis,Mike,,,CEO,26,,http://www.rrvrea.com/,http://www.rrvrea.com/,OK: Carter~ Jefferson~ Johnston~ Love~ Marshall,,,,,,,,,1003 Memorial Dr.,Marietta,OK,73448,,580-276-3364,,,,,,,,,,"Red River Valley Rural Electric Association, Inc.",,,https://www.facebook.com/pages/Red-River-Valley-REA/146536385393684?fref=ts,,2715,15672,42,6,Distribution,Red River Valley REA
OAEC Member System,HoustonAlice.jpg,Houston,Alice,,,Manager,31,,http://www.vvec.com/,http://www.vvec.com/,OK: Nowata~ Osage~ Rogers~ Tulsa~ Washington,,,,,,,,,8901 E. 146th St. N.,Collinsville,OK,74021,,918-371-2584,,,,,,,,,,"Verdigris Valley Electric Cooperative, Inc.",,,,,4757,36126,95,8,Distribution,Verdigris Valley Electric Cooperative
OAEC Member System,JohnsonMitchell.jpg,Johnson,Mitchell,,,President/CEO,24,,http://www.ozarksecc.com/,http://www.ozarksecc.com/,OK: Adair~ Cherokee~ Delaware~ Sequoyah~ AR: Benton~ Crawford~ Franklin~ Madison~ Washington,,,,,,,,,Hwy 51 W.,Stilwell,OK,74960,,918-696-7733,,,,,,,,,,"Ozarks Electric Cooperative, Corp.",,,https://www.facebook.com/OzarksElectric?fref=ts,,6781,68296,195,10,Distribution,Ozarks Electric Co-op Corp.
OAEC Member System,LittauTyson.jpg,Littau,Tyson,,,Manager/CEO,21,,http://www.nwecok.coop/,http://www.nwecok.coop/,OK: Beaver~ Dewey~ Ellis~ Harper~ Major~ Woods~ Woodward,,,,,,,,,2925 Williams Ave.,Woodward,OK,73802,,580-256-7425,,,,,,,,,,"Northwestern Electric Cooperative, Inc.",,http://twitter.com/nwecok,https://www.facebook.com/pages/Northwestern-Electric-Cooperative/139718627432,,4985,11941,52,2,Distribution,"Northwestern Electric Cooperative, Inc."
